Provincia,X1,X2,X3,X4,X5,X6,X7,X8,X9
A,24,998,846,148,117,545,302,342,881394
B,9,96,20,18,12,71,23,73,209933
U,6,218,115,70,26,216,45,92,281396
C,5,77,23,5,21,50,26,37,186869
X,28,318,203,47,73,199,122,145,488716
H,13,622,301,42,78,283,105,193,524004
O,87,1725,169,533,179,658,359,317,715751
E,67,837,73,214,39,553,155,228,591083
G,409,11953,2999,3052,2441,2431,1262,982,4387434
I,25,563,157,57,22,252,114,145,476257
L,9,275,62,15,27,187,43,215,521154
R,111,1844,186,1065,220,530,292,215,921763
M,113,1285,188,545,395,860,408,383,1562079
V,10,60,21,25,0,153,39,258,185494
N,2,87,19,7,7,110,27,74,144746
S,9,94,27,4,9,144,33,101,114202
P,157,7438,3612,1161,1505,2349,1689,883,3228233
T,17,519,320,17,64,266,137,158,590600
Z,2,28,9,3,0,72,28,68,120416
W,0,2,1,0,0,7,1,20,33042
K,30,301,33,248,21,220,80,161,230503
Q,9,231,24,156,13,189,81,94,161338
J,27,846,131,470,362,383,227,196,511151
Y,8,585,147,118,22,371,133,96,401178
