Provincia,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11
A,3.4,44.2,11,28.5,12.8,12.2,13.5,2.5,16.5,24.7,7.7
B,1.4,2.9,16.8,33.8,26.9,10.2,31.6,8.3,45.4,53.9,25.2
U,3.9,30.9,15.7,30.8,18.7,14.9,17,3.8,23.9,36.2,9.4
C,4.9,28.7,19.5,34.3,12.5,15.8,32.8,17,22.7,34.4,13.8
X,2.8,25.6,24,27.5,20,8.8,26,10.4,24.2,53.2,26.4
H,1.3,19.3,13.9,32.9,32.4,5.6,43.8,22.7,40.1,63,41.7
O,4.9,47.2,15.3,25.8,6.8,21.1,13.7,3.2,22.2,25.2,5.6
E,10.4,24,22.8,34.2,8.5,25.8,49.4,26.9,58,62.1,35.4
G,3.1,45,21.8,23.7,5.4,21,15.7,3.3,33.8,33.2,10.1
I,6.8,31.6,16.3,33.9,11.1,16.8,33.1,14.5,29.1,33.8,14.7
L,3.6,26.9,16.7,30.8,22,10.6,28,8.6,33.5,46.2,21.6
R,2.8,31.9,27,30.7,7.6,22.5,23.5,5.3,47.3,51.1,19.9
M,2.3,30.1,24.4,31.6,11.5,17.6,23.6,5.6,45.4,46.2,18.9
V,1.3,15.7,14.8,29,39.2,6.4,61.2,37,65.7,75.9,59.6
N,2.2,18.9,20.6,26.4,31.8,10.4,55.4,38.9,56,70.4,53.2
S,1.9,22.4,16.2,28,31.3,5.8,57.4,36.5,61.1,75.6,64
P,8,53,12.5,21,4.5,16.5,12.8,4.5,11,11.3,2.3
T,2.2,32.9,15.3,30.2,19,7.1,23.3,8,10.5,38,12
Z,3.1,27.4,17.2,29.9,22.4,11.4,43.1,10.3,34.3,61,37.3
W,2.1,65.2,25.7,17.6,5.3,11.6,0.3,0.2,15,10.6,0.3
K,4.7,27.1,16.1,33.4,18.5,18.6,47.7,22.2,63,60.5,34.5
Q,1.8,20.3,11,29.7,37.1,8.5,52.3,32.4,75.5,73.4,57.6
J,2.8,37.2,22.6,28.8,7.5,20.1,18.9,3.8,33,39.9,13.1
Y,2.8,33.9,25,31.3,6.5,26.4,28.1,8.1,36,42,8.9
